epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,37.783,1.13796,1.32764,1.03845,0.95724,1,0.995,0.67696,1.2698,0.6522,1.29002,0.00073025,0.00073025,0.00073025
44,38.5652,1.13205,1.55919,1.02174,0.9737,1,0.995,0.6749,1.30676,0.66806,1.29781,0.000717875,0.000717875,0.000717875
45,39.3484,1.08694,1.40328,1.05766,0.95573,1,0.995,0.69683,1.1857,0.64417,1.21617,0.0007055,0.0007055,0.0007055
46,40.1115,0.97695,1.60143,1.03045,0.95573,1,0.995,0.69683,1.1857,0.64417,1.21617,0.000693125,0.000693125,0.000693125
47,40.9022,1.12871,1.40633,1.04934,0.93671,1,0.995,0.73317,1.07784,0.70579,1.15185,0.00068075,0.00068075,0.00068075
48,41.7059,1.26411,1.53322,1.18652,0.96924,1,0.995,0.71383,1.04187,0.69313,1.15385,0.000668375,0.000668375,0.000668375
49,42.4851,1.11283,1.24066,1.01027,0.9581,1,0.995,0.75426,0.99583,0.65489,1.14741,0.000656,0.000656,0.000656
50,43.2803,1.11912,1.27244,1.0896,0.94847,1,0.995,0.75706,1.01747,0.66653,1.15803,0.000643625,0.000643625,0.000643625
51,44.0725,1.14194,1.47542,1.12728,0.93722,1,0.995,0.74715,1.07083,0.67459,1.15006,0.00063125,0.00063125,0.00063125
52,44.8857,1.06136,1.23199,1.02112,0.93977,1,0.995,0.73115,1.03548,0.64309,1.11398,0.000618875,0.000618875,0.000618875
53,45.6788,1.13472,1.29626,1.06059,0.94807,1,0.995,0.74951,0.98316,0.6083,1.07728,0.0006065,0.0006065,0.0006065
54,46.4779,1.11843,1.22829,0.97477,0.94807,1,0.995,0.74951,0.98316,0.6083,1.07728,0.000594125,0.000594125,0.000594125
55,47.2661,1.03191,1.62658,1.03034,0.9629,1,0.995,0.77695,0.97896,0.59771,1.09266,0.00058175,0.00058175,0.00058175
56,48.0503,0.9227,2.18401,0.88239,0.92467,1,0.995,0.73932,1.03101,0.62012,1.14015,0.000569375,0.000569375,0.000569375
57,48.814,0.93444,1.48563,0.96003,0.91673,1,0.995,0.70374,1.07264,0.63767,1.17717,0.000557,0.000557,0.000557
58,49.6122,1.3717,1.40706,1.23457,0.93364,1,0.995,0.68333,1.10265,0.60945,1.20933,0.000544625,0.000544625,0.000544625
59,50.4044,1.00831,1.27464,1.01755,0.962,1,0.995,0.6999,1.08311,0.60049,1.21735,0.00053225,0.00053225,0.00053225
60,51.1896,1.00041,1.27442,1.00087,0.96933,1,0.995,0.72309,1.03605,0.58305,1.19481,0.000519875,0.000519875,0.000519875
61,51.9752,1.06572,1.34575,1.07227,0.96766,1,0.995,0.74855,1.00229,0.59039,1.17292,0.0005075,0.0005075,0.0005075
62,52.7606,1.1702,1.26274,1.04633,0.96766,1,0.995,0.74855,1.00229,0.59039,1.17292,0.000495125,0.000495125,0.000495125
63,53.5563,0.92395,1.06492,0.97632,0.97341,1,0.995,0.75038,1.02338,0.58864,1.1775,0.00048275,0.00048275,0.00048275
64,54.3434,1.00619,1.24546,1.04797,0.97868,1,0.995,0.74875,1.01888,0.5815,1.16631,0.000470375,0.000470375,0.000470375
65,55.1205,0.95241,1.26892,0.98091,0.97642,1,0.995,0.7338,1.02099,0.60257,1.16008,0.000458,0.000458,0.000458
66,55.9267,0.99455,1.05921,1.02647,0.97294,1,0.995,0.70365,1.02989,0.61237,1.15847,0.000445625,0.000445625,0.000445625
67,56.7199,1.01034,1.1317,0.98034,0.97759,1,0.995,0.69658,1.0493,0.6176,1.15831,0.00043325,0.00043325,0.00043325
68,57.5056,1.11379,1.05061,1.04878,0.9717,1,0.995,0.69339,1.06626,0.62104,1.1509,0.000420875,0.000420875,0.000420875
69,58.2923,0.90614,1.08625,0.98645,0.96846,1,0.995,0.68907,1.06274,0.62623,1.13784,0.0004085,0.0004085,0.0004085
70,59.0615,0.94921,1.17868,1.04784,0.96846,1,0.995,0.68907,1.06274,0.62623,1.13784,0.000396125,0.000396125,0.000396125
71,59.8656,1.05081,1.14661,1.10815,0.96882,1,0.995,0.73808,1.08039,0.60185,1.13806,0.00038375,0.00038375,0.00038375
72,60.6498,1.02552,1.2275,1.0692,0.97312,1,0.995,0.73565,1.07651,0.5769,1.13587,0.000371375,0.000371375,0.000371375
73,61.4332,0.84242,2.00955,0.84093,0.98037,1,0.995,0.72832,1.07548,0.58162,1.14197,0.000359,0.000359,0.000359
74,62.2179,0.81561,1.93932,0.84239,0.97855,1,0.995,0.72361,1.08318,0.56947,1.14488,0.000346625,0.000346625,0.000346625
75,62.9801,0.9325,1.17051,1.01837,0.97599,1,0.995,0.72126,1.08645,0.57353,1.15198,0.00033425,0.00033425,0.00033425
76,63.7614,1.02986,1.02071,0.97216,0.97648,1,0.995,0.74125,1.10093,0.57713,1.15869,0.000321875,0.000321875,0.000321875
77,64.578,0.93937,1.00518,1.00882,0.97914,1,0.995,0.72127,1.12514,0.58769,1.16515,0.0003095,0.0003095,0.0003095
78,65.3532,0.91522,1.10424,0.99442,0.97914,1,0.995,0.72127,1.12514,0.58769,1.16515,0.000297125,0.000297125,0.000297125
79,66.1333,0.90706,1.92738,0.8845,0.98156,1,0.995,0.7395,1.11412,0.57923,1.15969,0.00028475,0.00028475,0.00028475
80,66.9134,0.87955,1.0789,0.96411,0.98126,1,0.995,0.72305,1.10557,0.54982,1.15355,0.000272375,0.000272375,0.000272375
81,67.6991,0.94226,0.94766,0.97248,0.97955,1,0.995,0.71371,1.11562,0.54457,1.15797,0.00026,0.00026,0.00026
82,68.4964,0.95569,1.01528,1.0012,0.97888,1,0.995,0.72202,1.11557,0.54037,1.15781,0.000247625,0.000247625,0.000247625
83,69.2871,1.00291,1.08859,0.99335,0.97263,1,0.995,0.7262,1.11923,0.53329,1.15714,0.00023525,0.00023525,0.00023525
84,70.0623,0.92108,1.10373,0.98404,0.96871,1,0.995,0.73109,1.11156,0.53637,1.15044,0.000222875,0.000222875,0.000222875
85,70.8654,0.947,1.03739,0.96834,0.96677,1,0.995,0.74818,1.09424,0.53202,1.14265,0.0002105,0.0002105,0.0002105
86,71.635,0.9314,1.06396,0.96081,0.96677,1,0.995,0.74818,1.09424,0.53202,1.14265,0.000198125,0.000198125,0.000198125
87,72.4397,1.00776,1.25318,1.02843,0.96917,1,0.995,0.7596,1.07007,0.5234,1.14144,0.00018575,0.00018575,0.00018575
88,73.2169,0.97099,1.09021,0.99182,0.97012,1,0.995,0.7474,1.06016,0.51357,1.14269,0.000173375,0.000173375,0.000173375
89,74.0101,0.92268,0.93319,0.97253,0.97328,1,0.995,0.74888,1.04871,0.51649,1.13904,0.000161,0.000161,0.000161
90,74.8177,0.89254,1.07327,0.96594,0.97474,1,0.995,0.73464,1.05549,0.50908,1.14386,0.000148625,0.000148625,0.000148625
91,79.1113,0.87942,2.18323,0.88752,0.97642,1,0.995,0.73705,1.06574,0.51094,1.15402,0.00013625,0.00013625,0.00013625
92,79.9135,1.17219,1.55268,1.07464,0.97683,1,0.995,0.74661,1.07034,0.51643,1.15856,0.000123875,0.000123875,0.000123875
93,80.724,1.15423,1.40638,1.16198,0.97587,1,0.995,0.75082,1.08136,0.52249,1.1628,0.0001115,0.0001115,0.0001115
94,81.5022,0.96389,1.26706,0.9577,0.97587,1,0.995,0.75082,1.08136,0.52249,1.1628,9.9125e-05,9.9125e-05,9.9125e-05
95,82.2734,0.82016,2.15202,0.86332,0.97518,1,0.995,0.74911,1.08262,0.51748,1.1643,8.675e-05,8.675e-05,8.675e-05
96,83.0615,0.9832,1.35865,1.01815,0.97293,1,0.995,0.75845,1.08806,0.52248,1.16786,7.4375e-05,7.4375e-05,7.4375e-05
97,83.8647,1.03716,1.52923,1.03794,0.97226,1,0.995,0.75571,1.08855,0.52349,1.16562,6.2e-05,6.2e-05,6.2e-05
98,84.6769,0.87632,1.34456,1.06029,0.97041,1,0.995,0.7529,1.08315,0.51832,1.16648,4.9625e-05,4.9625e-05,4.9625e-05
99,85.4771,0.83427,1.24412,0.96656,0.96919,1,0.995,0.74959,1.08355,0.51306,1.16526,3.725e-05,3.725e-05,3.725e-05
100,86.2643,0.84976,1.39822,0.98401,0.96843,1,0.995,0.74023,1.08544,0.52184,1.165,2.4875e-05,2.4875e-05,2.4875e-05
